sysDescr.0    = Juniper Networks, Inc. mx80 internet router, kernel JUNOS 15.1R6.7, Build date: 2017-04-23 01:51:20 UTC Copyright (c) 1996-2017 Juniper Networks, Inc.
ifLastChange.508 = 7098
ifLastChange.509 = 7098
ifLastChange.510 = 7108
ifLastChange.511 = 7108
ifLastChange.512 = 9047
ifLastChange.513 = 9047
ifLastChange.514 = 9057
ifLastChange.515 = 9057
ifLastChange.516 = 10343
ifLastChange.517 = 9552
ifLastChange.518 = 9552
ifLastChange.519 = 9552
ifLastChange.520 = 9552
ifLastChange.521 = 9552
ifLastChange.522 = 9564
ifLastChange.523 = 9564
ifLastChange.524 = 9564
ifLastChange.525 = 9564
ifLastChange.526 = 9573
ifLastChange.527 = 10343
ifLastChange.528 = 9573
ifLastChange.529 = 9573
ifLastChange.530 = 9583
ifLastChange.531 = 9583
ifLastChange.532 = 9584
ifLastChange.533 = 9584
ifLastChange.534 = 10643
ifLastChange.535 = 9584
ifLastChange.536 = 0
ifLastChange.537 = 0
ifLastChange.540 = 7082
ifLastChange.542 = 7082
ifLastChange.555 = 7108
ifLastChange.583 = 9565
ifLastChange.584 = 9593
ifLastChange.585 = 7109
ifLastChange.586 = 7110
ifLastChange.587 = 7119
ifInOctets.1  = 83818187
ifInOctets.4  = 0
ifInOctets.5  = 0
ifInOctets.6  = 6869339
ifInOctets.7  = 0
ifInOctets.8  = 0
ifInOctets.9  = 0
ifInOctets.10 = 0
ifInOctets.11 = 0
ifInOctets.12 = 0
ifInOctets.13 = 83818307
ifInOctets.17 = 1272290644
ifInOctets.18 = 1272290644
ifInOctets.21 = 19320
ifInOctets.22 = 6850019
ifInOctets.23 = 0
ifInOctets.24 = 0
ifInOctets.33 = 0
ifInOctets.34 = 0
ifInOctets.501 = 0
ifInOctets.502 = 0
ifInOctets.503 = 0
ifInOctets.504 = 0
ifInOctets.505 = 0
ifInOctets.506 = 0
ifInOctets.507 = 0
ifInOctets.508 = 0
ifInOctets.509 = 0
ifInOctets.510 = 0
ifInOctets.511 = 0
ifInOctets.512 = 0
ifInOctets.513 = 0
ifInOctets.514 = 0
ifInOctets.515 = 0
ifInOctets.516 = 0
ifInOctets.517 = 0
ifInOctets.518 = 0
ifInOctets.519 = 0
ifInOctets.520 = 0
ifInOctets.521 = 0
ifInOctets.522 = 0
ifInOctets.523 = 0
ifInOctets.524 = 0
ifInOctets.525 = 0
ifInOctets.526 = 0
ifInOctets.527 = 0
ifInOctets.528 = 0
ifInOctets.529 = 0
ifInOctets.530 = 0
ifInOctets.531 = 0
ifInOctets.532 = 0
ifInOctets.533 = 0
ifInOctets.534 = 0
ifInOctets.535 = 0
ifInOctets.536 = 0
ifInOctets.537 = 0
ifInOctets.540 = 0
ifInOctets.542 = 0
ifInOctets.555 = 0
ifInOctets.583 = 0
ifInOctets.584 = 0
ifInOctets.585 = 0
ifInOctets.586 = 0
ifInOctets.587 = 0
ifInUcastPkts.1 = 1387465
ifInUcastPkts.4 = 0
ifInUcastPkts.5 = 0
ifInUcastPkts.6 = 149280
ifInUcastPkts.7 = 0
ifInUcastPkts.8 = 0
ifInUcastPkts.9 = 0
ifInUcastPkts.10 = 0
ifInUcastPkts.11 = 0
ifInUcastPkts.12 = 0
ifInUcastPkts.13 = 1387467
ifInUcastPkts.17 = 11647759
ifInUcastPkts.18 = 11647759
ifInUcastPkts.21 = 417
ifInUcastPkts.22 = 148863
ifInUcastPkts.23 = 0
ifInUcastPkts.24 = 0
ifInUcastPkts.33 = 0
ifInUcastPkts.34 = 0
ifInUcastPkts.501 = 0
ifInUcastPkts.502 = 0
ifInUcastPkts.503 = 0
ifInUcastPkts.504 = 0
ifInUcastPkts.505 = 0
ifInUcastPkts.506 = 0
ifInUcastPkts.507 = 0
ifInUcastPkts.508 = 0
ifInUcastPkts.509 = 0
ifInUcastPkts.510 = 0
ifInUcastPkts.511 = 0
ifInUcastPkts.512 = 0
ifInUcastPkts.513 = 0
ifInUcastPkts.514 = 0
ifInUcastPkts.515 = 0
ifInUcastPkts.516 = 0
ifInUcastPkts.517 = 0
ifInUcastPkts.518 = 0
ifInUcastPkts.519 = 0
ifInUcastPkts.520 = 0
ifInUcastPkts.521 = 0
ifInUcastPkts.522 = 0
ifInUcastPkts.523 = 0
ifInUcastPkts.524 = 0
ifInUcastPkts.525 = 0
ifInUcastPkts.526 = 0
ifInUcastPkts.527 = 0
ifInUcastPkts.528 = 0
ifInUcastPkts.529 = 0
ifInUcastPkts.530 = 0
ifInUcastPkts.531 = 0
ifInUcastPkts.532 = 0
ifInUcastPkts.533 = 0
ifInUcastPkts.534 = 0
ifInUcastPkts.535 = 0
ifInUcastPkts.536 = 0
ifInUcastPkts.537 = 0
ifInUcastPkts.540 = 0
ifInUcastPkts.542 = 0
ifInUcastPkts.555 = 0
ifInUcastPkts.583 = 0
ifInUcastPkts.584 = 0
ifInUcastPkts.585 = 0
ifInUcastPkts.586 = 0
ifInUcastPkts.587 = 0
ifInNUcastPkts.1 = 0
ifInNUcastPkts.4 = 0
ifInNUcastPkts.5 = 0
ifInNUcastPkts.6 = 0
ifInNUcastPkts.7 = 0
ifInNUcastPkts.8 = 0
ifInNUcastPkts.9 = 0
ifInNUcastPkts.10 = 0
ifInNUcastPkts.11 = 0
ifInNUcastPkts.12 = 0
ifInNUcastPkts.13 = 0
ifInNUcastPkts.17 = 0
ifInNUcastPkts.18 = 0
ifInNUcastPkts.21 = 0
